,Capital,Country,Your Answer
0,Taipei,Taiwan,Taipei
1,Sana'a,Yemen,Idk
2,City of Victoria,Hong Kong,Hong Kong
3,Yerevan,Armenia,Idk
4,Tbilisi,Georgia,Idk
5,Singapore,Singapore,Singaproe
6,Muscat,Oman,Idk
7,Pyongyang,Korea (Democratic People's Republic of),Pyongyang
8,Tehran,Iran (Islamic Republic of),Tehran
9,Naypyidaw,Myanmar,Idk
10,Malé,Maldives,Idk
11,Manama,Bahrain,Idk
12,Riyadh,Saudi Arabia,Riyadh
13,Ashgabat,Turkmenistan,Idk
14,Dushanbe,Tajikistan,Idk
15,Tokyo,Japan,Tokyo
16,Phnom Penh,Cambodia,Idk
17,Ulan Bator,Mongolia,Idk
